global_step,episode,episode_return,episode_length,epsilon,loss,eval_mean_return,wall_time_sec
5711,234,33.0,33,0.909576,0.3327507972717285,nan,4.517
5789,235,78.0,78,0.908341,0.23489800095558167,nan,4.582
5800,236,11.0,11,0.908167,0.4870462417602539,nan,4.59
5812,237,12.0,12,0.907977,0.43415501713752747,nan,4.599
5862,238,50.0,50,0.907185,0.21528348326683044,nan,4.646
5887,239,25.0,25,0.906789,0.3893091082572937,nan,4.664
5899,240,12.0,12,0.906599,0.22202354669570923,nan,4.674
5926,241,27.0,27,0.906172,0.2232772707939148,nan,4.7
5998,242,72.0,72,0.905032,0.07686445116996765,nan,4.757
6082,243,84.0,84,0.903702,0.4175351858139038,nan,4.831
6129,244,47.0,47,0.902957,0.4904925525188446,nan,4.868
6142,245,13.0,13,0.902752,0.6633268594741821,nan,4.879
6173,246,31.0,31,0.902261,0.03205723688006401,nan,4.915
6187,247,14.0,14,0.902039,0.1473134607076645,nan,4.926
6198,248,11.0,11,0.901865,0.46682220697402954,nan,4.935
6217,249,19.0,19,0.901564,0.11717376857995987,nan,4.95
6228,250,11.0,11,0.90139,0.3647370934486389,nan,4.957
6249,251,21.0,21,0.901057,0.5059698820114136,nan,4.978
6279,252,30.0,30,0.900583,0.3449772298336029,nan,5.0
6295,253,16.0,16,0.900329,0.5974751114845276,nan,5.016
6316,254,21.0,21,0.899997,0.32457292079925537,nan,5.032
6334,255,18.0,18,0.899712,0.1631474643945694,nan,5.046
6344,256,10.0,10,0.899553,0.4258267879486084,nan,5.052
6354,257,10.0,10,0.899395,0.18944944441318512,nan,5.062
6426,258,72.0,72,0.898255,0.3737623691558838,nan,5.134
6484,259,58.0,58,0.897337,0.3798176050186157,nan,5.186
6530,260,46.0,46,0.896608,0.3685336112976074,nan,5.229
6564,261,34.0,34,0.89607,0.25932759046554565,nan,5.266
6594,262,30.0,30,0.895595,0.5948215126991272,nan,5.302
6604,263,10.0,10,0.895437,0.06493660062551498,nan,5.311
6639,264,35.0,35,0.894883,0.6526597142219543,nan,5.343
6658,265,19.0,19,0.894582,0.19196388125419617,nan,5.365
6682,266,24.0,24,0.894202,0.5912269949913025,nan,5.393
6713,267,31.0,31,0.893711,0.38989561796188354,nan,5.428
6773,268,60.0,60,0.892761,0.35767412185668945,nan,5.497
6826,269,53.0,53,0.891922,0.9699602723121643,nan,5.552
6836,270,10.0,10,0.891763,0.4158797860145569,nan,5.558
6866,271,30.0,30,0.891288,0.7968670725822449,nan,5.594
6913,272,47.0,47,0.890544,0.32135310769081116,nan,5.637
6924,273,11.0,11,0.89037,0.46603861451148987,nan,5.643
6942,274,18.0,18,0.890085,0.0931989997625351,nan,5.666
7000,275,58.0,58,0.889167,0.26232725381851196,nan,5.72
7019,276,19.0,19,0.888866,1.1860296726226807,nan,5.739
7052,277,33.0,33,0.888343,0.5008629560470581,nan,5.77
7076,278,24.0,24,0.887963,0.9112579226493835,nan,5.789
7095,279,19.0,19,0.887663,1.17970871925354,nan,5.805
7128,280,33.0,33,0.88714,0.1849350780248642,nan,5.836
7142,281,14.0,14,0.886918,0.530509889125824,nan,5.852
7170,282,28.0,28,0.886475,0.1781274974346161,nan,5.876
7230,283,60.0,60,0.885525,0.7180393934249878,nan,5.929
7241,284,11.0,11,0.885351,0.3492966890335083,nan,5.94
7255,285,14.0,14,0.885129,0.10989582538604736,nan,5.949
7304,286,49.0,49,0.884353,0.7284317016601562,nan,6.001
7334,287,30.0,30,0.883878,0.17584295570850372,nan,6.029
7365,288,31.0,31,0.883387,0.48829028010368347,nan,6.056
7412,289,47.0,47,0.882643,0.5973957777023315,nan,6.107
7432,290,20.0,20,0.882327,0.834408700466156,nan,6.134
7458,291,26.0,26,0.881915,0.9058929085731506,nan,6.165
7511,292,53.0,53,0.881076,0.2982892394065857,nan,6.24
7547,293,36.0,36,0.880506,0.26958754658699036,nan,6.291
7576,294,29.0,29,0.880047,0.25089743733406067,nan,6.313
7594,295,18.0,18,0.879762,0.31182849407196045,nan,6.33
7632,296,38.0,38,0.87916,0.2950720489025116,nan,6.359
7654,297,22.0,22,0.878812,0.9291917681694031,nan,6.378
7667,298,13.0,13,0.878606,0.640407919883728,nan,6.387
7683,299,16.0,16,0.878352,0.3435039520263672,nan,6.398
7696,300,13.0,13,0.878147,0.7419978976249695,nan,6.406
7728,301,32.0,32,0.87764,0.3227646052837372,nan,6.433
7749,302,21.0,21,0.877308,0.47431689500808716,nan,6.451
7764,303,15.0,15,0.87707,0.2675202190876007,nan,6.46
7778,304,14.0,14,0.876848,0.6038146615028381,nan,6.472
7838,305,60.0,60,0.875898,0.43646496534347534,nan,6.52
7899,306,61.0,61,0.874933,0.07187522947788239,nan,6.57
7999,307,100.0,100,0.873349,0.46021732687950134,nan,6.664
8020,308,21.0,21,0.873017,1.4387248754501343,nan,6.682
8046,309,26.0,26,0.872605,0.6376040577888489,nan,6.709
8080,310,34.0,34,0.872067,0.973051905632019,nan,6.734
8192,311,112.0,112,0.870293,0.32283899188041687,nan,6.83
8206,312,14.0,14,0.870072,0.3321734070777893,nan,6.844
8231,313,25.0,25,0.869676,0.25112423300743103,nan,6.866
8257,314,26.0,26,0.869264,0.9073004722595215,nan,6.894
8319,315,62.0,62,0.868283,0.7431775331497192,nan,6.954
8339,316,20.0,20,0.867966,0.7054510712623596,nan,6.972
8355,317,16.0,16,0.867712,0.26730799674987793,nan,6.987
8382,318,27.0,27,0.867285,0.11383900046348572,nan,7.011
8408,319,26.0,26,0.866873,0.437420129776001,nan,7.033
8440,320,32.0,32,0.866367,0.37811070680618286,nan,7.058
8461,321,21.0,21,0.866034,0.08473784476518631,nan,7.079
